specialty_name,itemid,lab_label,fluid,category,unit,case_count,coverage_pct,raw_lab_record_count,min_value,mean_value,max_value
肾内/泌尿,51221,Hematocrit,Blood,Hematology,%,3034,74.74747474747475,4199,9.5,32.71784419436858,57.6
肾内/泌尿,51222,Hemoglobin,Blood,Hematology,g/dL,2981,73.44173441734418,3933,2.4,10.778514760147601,18.0
肾内/泌尿,51248,MCH,Blood,Hematology,pg,2979,73.39246119733924,3919,13.9,29.378287296791832,41.6
肾内/泌尿,51250,MCV,Blood,Hematology,fL,2979,73.39246119733924,3920,50.0,89.36641969980339,126.0
肾内/泌尿,51279,Red Blood Cells,Blood,Hematology,m/uL,2979,73.39246119733924,3920,1.29,3.684828417973433,6.2
肾内/泌尿,51301,White Blood Cells,Blood,Hematology,K/uL,2979,73.39246119733924,3923,0.1,9.785223868667979,445.1
肾内/泌尿,51265,Platelet Count,Blood,Hematology,K/uL,2975,73.29391475732939,3930,8.0,238.88364185674268,1468.0
肾内/泌尿,51277,RDW,Blood,Hematology,%,2975,73.29391475732939,3909,10.8,14.518695838335335,33.9
肾内/泌尿,50912,Creatinine,Blood,Chemistry,mg/dL,2534,62.42916974624292,3449,0.2,1.6928873980531438,36.1
肾内/泌尿,51006,Urea Nitrogen,Blood,Chemistry,mg/dL,2434,59.96550874599655,3291,2.0,24.126225691591344,218.0
肾内/泌尿,50971,Potassium,Blood,Chemistry,mEq/L,2407,59.300320275930034,3330,2.3,4.142566126575266,8.0
肾内/泌尿,50983,Sodium,Blood,Chemistry,mEq/L,2401,59.15250061591525,3298,114.0,138.53166041926974,161.0
肾内/泌尿,50902,Chloride,Blood,Chemistry,mEq/L,2398,59.078590785907856,3293,79.0,104.27816235752016,126.0
肾内/泌尿,50882,Bicarbonate,Blood,Chemistry,mEq/L,2386,58.7829514658783,3216,5.0,23.693185945794916,40.0
肾内/泌尿,50868,Anion Gap,Blood,Chemistry,mEq/L,2385,58.75831485587583,3214,4.0,13.772222222222222,35.0
肾内/泌尿,50931,Glucose,Blood,Chemistry,mg/dL,2371,58.41340231584134,3166,40.0,114.297771685646,624.0
肾内/泌尿,50960,Magnesium,Blood,Chemistry,mg/dL,2024,49.86449864498645,2708,0.4,1.948415678524374,21.3
肾内/泌尿,50893,"Calcium, Total",Blood,Chemistry,mg/dL,1957,48.21384577482139,2588,4.4,8.60320558678249,13.1
肾内/泌尿,50970,Phosphate,Blood,Chemistry,mg/dL,1850,45.577728504557776,2460,0.5,3.655845945945946,13.2
肾内/泌尿,51249,MCHC,Blood,Hematology,%,1490,36.70854890367085,2021,26.0,33.16659124320869,37.6
肾内/泌尿,51249,MCHC,Blood,Hematology,g/dL,1489,36.68391229366839,1898,25.3,32.571967203940005,37.1
肾内/泌尿,52172,RDW-SD,Blood,Hematology,fL,1484,36.56072924365607,1887,31.8,45.52827998652291,92.9
肾内/泌尿,51237,INR(PT),Blood,Hematology,,1189,29.292929292929294,1510,0.8,1.3813920261123793,13.1
肾内/泌尿,51274,PT,Blood,Hematology,sec,1189,29.292929292929294,1511,8.7,15.081620609555848,150.0
肾内/泌尿,51275,PTT,Blood,Hematology,sec,1129,27.814732692781472,1485,20.4,33.23464812940234,150.0
肾内/泌尿,50934,H,Blood,Chemistry,,852,20.99039172209904,1064,0.0,11.071576682316119,578.0
肾内/泌尿,50947,I,Blood,Chemistry,,852,20.99039172209904,1064,0.0,0.9471830985915493,18.0
肾内/泌尿,51678,L,Blood,Chemistry,,852,20.99039172209904,1064,0.0,10.206259780907668,185.0
肾内/泌尿,50861,Alanine Aminotransferase (ALT),Blood,Chemistry,IU/L,779,19.19191919191919,896,3.0,48.59955070603338,3660.0
肾内/泌尿,50878,Asparate Aminotransferase (AST),Blood,Chemistry,IU/L,778,19.167282581916727,895,7.0,45.59162382176521,2128.0
肾内/泌尿,51146,Basophils,Blood,Hematology,%,641,15.792067011579206,732,0.0,0.3639105564222569,7.0
肾内/泌尿,51200,Eosinophils,Blood,Hematology,%,641,15.792067011579206,732,0.0,1.435777431097244,20.4
肾内/泌尿,51244,Lymphocytes,Blood,Hematology,%,641,15.792067011579206,732,0.0,16.5804992199688,97.0
肾内/泌尿,51254,Monocytes,Blood,Hematology,%,641,15.792067011579206,732,0.0,6.76167446697868,38.0
肾内/泌尿,51256,Neutrophils,Blood,Hematology,%,641,15.792067011579206,732,1.0,73.18325533021321,100.0
肾内/泌尿,50885,"Bilirubin, Total",Blood,Chemistry,mg/dL,631,15.54570091155457,707,0.1,1.2992868462757527,45.6
肾内/泌尿,50863,Alkaline Phosphatase,Blood,Chemistry,IU/L,617,15.200788371520078,689,28.0,120.83657482441924,1477.0
肾内/泌尿,51491,pH,Urine,Hematology,units,607,14.954422271495442,652,5.0,6.090884129599121,9.0
肾内/泌尿,51498,Specific Gravity,Urine,Hematology, ,594,14.634146341463415,635,1.002,1.0155112233445567,1.048
肾内/泌尿,50862,Albumin,Blood,Chemistry,g/dL,424,10.445922641044593,463,1.6,3.3141509433962266,5.0
肾内/泌尿,50954,Lactate Dehydrogenase (LD),Blood,Chemistry,IU/L,404,9.95319044099532,452,53.0,283.6969884488449,5410.0
肾内/泌尿,51476,Epithelial Cells,Urine,Hematology,#/hpf,391,9.63291451096329,417,0.0,1.651321398124467,48.0
肾内/泌尿,51516,WBC,Urine,Hematology,#/hpf,363,8.94308943089431,385,0.0,29.450413223140497,468.0
肾内/泌尿,51082,"Creatinine, Urine",Urine,Chemistry,mg/dL,355,8.7459965508746,373,9.0,79.71483568075118,524.6
肾内/泌尿,51493,RBC,Urine,Hematology,#/hpf,341,8.401084010840108,360,0.0,31.826979472140764,831.0
肾内/泌尿,51492,Protein,Urine,Hematology,mg/dL,313,7.711258930771126,330,10.0,81.35782747603834,600.0
肾内/泌尿,50813,Lactate,Blood,Blood Gas,mmol/L,309,7.612712490761271,591,0.3,1.7946160859995812,12.1
